GEOID,NAME,total_population_universe,total_population_universe_M,federal_poverty_limit_universe_allraces,federal_poverty_limit_universe_allraces_M,federal_poverty_limit_below_allraces,federal_poverty_limit_below_allraces_M,federal_poverty_limit_below_allraces_percent,federal_poverty_limit_below_allraces_percent_M
001001901,Census Tract 19.01; District of Columbia; District of Columbia,4655,819,4655,819,558,521,11.99,10.99
001001902,Census Tract 19.02; District of Columbia; District of Columbia,2214,280,2214,280,165,75,7.45,3.25
001002001,Census Tract 20.01; District of Columbia; District of Columbia,2941,760,2938,760,734,607,24.98,19.62
001002002,Census Tract 20.02; District of Columbia; District of Columbia,4019,585,3973,587,217,145,5.46,3.56
001002101,Census Tract 21.01; District of Columbia; District of Columbia,5453,1144,5453,1144,279,220,5.12,3.89
001002102,Census Tract 21.02; District of Columbia; District of Columbia,5702,1081,5702,1081,621,288,10.89,4.61
001002201,Census Tract 22.01; District of Columbia; District of Columbia,3502,656,3325,556,29,31,0.87,0.92
001002202,Census Tract 22.02; District of Columbia; District of Columbia,3169,766,3169,766,780,628,24.61,18.9
001002301,Census Tract 23.01; District of Columbia; District of Columbia,3103,502,3103,502,388,209,12.5,6.42
001002302,Census Tract 23.02; District of Columbia; District of Columbia,1413,224,1258,222,94,56,7.47,4.25
001002400,Census Tract 24; District of Columbia; District of Columbia,3871,497,3858,496,274,139,7.1,3.49
001002501,Census Tract 25.01; District of Columbia; District of Columbia,2768,757,2766,758,159,106,5.75,3.49
001002503,Census Tract 25.03; District of Columbia; District of Columbia,3226,631,3226,631,216,140,6.7,4.14
001002504,Census Tract 25.04; District of Columbia; District of Columbia,3003,548,2986,549,554,378,18.55,12.19
001002600,Census Tract 26; District of Columbia; District of Columbia,2341,420,2341,420,163,146,6.96,6.11
001002702,Census Tract 27.02; District of Columbia; District of Columbia,6039,807,5944,752,484,260,8.14,4.25
001002703,Census Tract 27.03; District of Columbia; District of Columbia,2403,426,2289,425,91,59,3.98,2.47
001002704,Census Tract 27.04; District of Columbia; District of Columbia,2861,644,2861,644,241,156,8.42,5.11
001002801,Census Tract 28.01; District of Columbia; District of Columbia,3792,648,3792,648,910,540,24,13.64
001002802,Census Tract 28.02; District of Columbia; District of Columbia,4507,629,4504,629,1640,395,36.41,7.15
001002900,Census Tract 29; District of Columbia; District of Columbia,4361,775,4356,775,696,616,15.98,13.85
001003000,Census Tract 30; District of Columbia; District of Columbia,3425,442,3413,443,714,369,20.92,10.47
001003100,Census Tract 31; District of Columbia; District of Columbia,3906,723,3856,726,611,635,15.85,16.2
001003200,Census Tract 32; District of Columbia; District of Columbia,4223,995,4215,995,835,846,19.81,19.52
001003301,Census Tract 33.01; District of Columbia; District of Columbia,3670,520,3670,520,216,120,5.89,3.16
001003302,Census Tract 33.02; District of Columbia; District of Columbia,2268,362,2256,362,160,94,7.09,4.01
001003400,Census Tract 34; District of Columbia; District of Columbia,4728,551,2662,545,552,287,20.74,9.91
001003500,Census Tract 35; District of Columbia; District of Columbia,5138,558,3642,550,532,379,14.61,10.17
001003600,Census Tract 36; District of Columbia; District of Columbia,5042,666,5038,666,297,157,5.9,3.02
001003701,Census Tract 37.01; District of Columbia; District of Columbia,2508,224,2508,224,56,62,2.23,2.46
001003702,Census Tract 37.02; District of Columbia; District of Columbia,2795,766,2795,766,475,204,16.99,5.62
001003801,Census Tract 38.01; District of Columbia; District of Columbia,1440,216,1440,216,98,68,6.81,4.61
001003802,Census Tract 38.02; District of Columbia; District of Columbia,3645,566,3645,566,327,160,8.97,4.16
001003901,Census Tract 39.01; District of Columbia; District of Columbia,2734,549,2734,549,215,187,7.86,6.66
001003902,Census Tract 39.02; District of Columbia; District of Columbia,1566,222,1566,222,89,90,5.68,5.69
001004001,Census Tract 40.01; District of Columbia; District of Columbia,3843,599,3843,599,186,192,4.84,4.94
001004002,Census Tract 40.02; District of Columbia; District of Columbia,3074,538,2982,505,122,71,4.09,2.28
001004100,Census Tract 41; District of Columbia; District of Columbia,2475,408,2475,408,149,90,6.02,3.5
001004201,Census Tract 42.01; District of Columbia; District of Columbia,3341,499,3341,499,249,170,7.45,4.97
001004202,Census Tract 42.02; District of Columbia; District of Columbia,2557,397,2494,396,351,249,14.07,9.73
001004300,Census Tract 43; District of Columbia; District of Columbia,4551,886,4551,886,450,273,9.89,5.68
001004401,Census Tract 44.01; District of Columbia; District of Columbia,3540,942,3540,942,112,80,3.16,2.1
001004402,Census Tract 44.02; District of Columbia; District of Columbia,2417,412,2413,412,213,151,8.83,6.07
001004600,Census Tract 46; District of Columbia; District of Columbia,3024,631,3024,631,213,174,7.04,5.56
001004702,Census Tract 47.02; District of Columbia; District of Columbia,3449,730,3330,730,229,85,6.88,2.06
001004703,Census Tract 47.03; District of Columbia; District of Columbia,3147,596,3147,596,921,526,29.27,15.77
001004704,Census Tract 47.04; District of Columbia; District of Columbia,1721,366,1721,366,1090,345,63.34,14.85
001004801,Census Tract 48.01; District of Columbia; District of Columbia,2598,433,2595,433,280,142,10.79,5.17
001004802,Census Tract 48.02; District of Columbia; District of Columbia,2946,692,2946,692,230,129,7.81,3.98
001004901,Census Tract 49.01; District of Columbia; District of Columbia,3315,434,3315,434,476,255,14.36,7.46
001004902,Census Tract 49.02; District of Columbia; District of Columbia,3193,356,3193,356,441,170,13.81,5.1
